loan_id,amount,term,subgrade,installments,purpose,loan_type,loan_state
1077501,5000,36,B2,162.87,credit_card,INDIVIDUAL,Fully Paid
1077430,2500,60,C4,59.83,car,INDIVIDUAL,Charged Off
1077175,2400,36,C5,84.33,small_business,INDIVIDUAL,Fully Paid
1076863,10000,36,C1,339.31,other,INDIVIDUAL,Fully Paid
1075358,3000,60,B5,67.79,other,INDIVIDUAL,Current
1075269,5000,36,A4,156.46,wedding,INDIVIDUAL,Fully Paid
1069639,7000,60,C5,170.08,debt_consolidation,INDIVIDUAL,Fully Paid
1072053,3000,36,E1,109.43,car,INDIVIDUAL,Fully Paid
1071795,5600,60,F2,152.39,small_business,INDIVIDUAL,Charged Off
1071570,5375,60,B5,121.45,other,INDIVIDUAL,Charged Off
1070078,6500,60,C3,153.45,debt_consolidation,INDIVIDUAL,Fully Paid
1069908,12000,36,B5,402.54,debt_consolidation,INDIVIDUAL,Fully Paid
1064687,9000,36,C1,305.38,debt_consolidation,INDIVIDUAL,Charged Off
1069866,3000,36,B1,96.68,credit_card,INDIVIDUAL,Fully Paid
1069057,10000,36,B2,325.74,other,INDIVIDUAL,Charged Off
1069759,1000,36,D1,35.31,debt_consolidation,INDIVIDUAL,Fully Paid
1065775,10000,36,C4,347.98,home_improvement,INDIVIDUAL,Fully Paid
1069971,3600,36,A1,109.57,major_purchase,INDIVIDUAL,Fully Paid
1062474,6000,36,B3,198.46,medical,INDIVIDUAL,Fully Paid
1069742,9200,36,A1,280.01,debt_consolidation,INDIVIDUAL,Fully Paid
1069740,20250,60,C4,484.63,debt_consolidation,INDIVIDUAL,Fully Paid
1039153,21000,36,B4,701.73,debt_consolidation,INDIVIDUAL,Charged Off
1069710,10000,36,B3,330.76,credit_card,INDIVIDUAL,Fully Paid
1069700,10000,36,B3,330.76,debt_consolidation,INDIVIDUAL,Fully Paid
1069559,6000,36,B3,198.46,major_purchase,INDIVIDUAL,Charged Off
1069697,15000,36,B1,483.38,credit_card,INDIVIDUAL,Fully Paid
1069800,15000,36,C2,514.64,debt_consolidation,INDIVIDUAL,Charged Off
1069657,5000,60,D2,123.65,other,INDIVIDUAL,Charged Off
1069799,4000,36,B3,132.31,debt_consolidation,INDIVIDUAL,Fully Paid
1047704,8500,36,B3,281.15,credit_card,INDIVIDUAL,Fully Paid
1032111,4375,36,A3,136.11,debt_consolidation,INDIVIDUAL,Fully Paid
1069539,31825,36,A4,995.82,debt_consolidation,INDIVIDUAL,Fully Paid
1065420,10000,60,C5,242.97,debt_consolidation,INDIVIDUAL,Current
1069591,5000,36,A5,158.77,debt_consolidation,INDIVIDUAL,Fully Paid
1069530,7000,36,C5,245.97,credit_card,INDIVIDUAL,Fully Paid
1069522,12400,36,B2,403.91,credit_card,INDIVIDUAL,Fully Paid
1069361,10800,36,B1,348.03,moving,INDIVIDUAL,Fully Paid
1069357,15000,36,A4,469.36,debt_consolidation,INDIVIDUAL,Fully Paid
1069356,6000,36,B4,200.5,debt_consolidation,INDIVIDUAL,Fully Paid
1069346,12500,60,B5,282.44,debt_consolidation,INDIVIDUAL,Current
1067573,9600,36,A3,298.67,other,INDIVIDUAL,Fully Paid
1069506,12000,36,A4,375.49,debt_consolidation,INDIVIDUAL,Fully Paid
1069314,3000,36,D5,108.84,other,INDIVIDUAL,Fully Paid
1060578,4400,36,D2,156.37,debt_consolidation,INDIVIDUAL,Fully Paid
1069469,6000,36,A1,182.62,debt_consolidation,INDIVIDUAL,Fully Paid
1051117,14000,36,B1,451.15,small_business,INDIVIDUAL,Fully Paid
1069465,5000,36,A5,158.77,debt_consolidation,INDIVIDUAL,Charged Off
1069283,10000,36,B2,325.74,other,INDIVIDUAL,Fully Paid
1069287,10000,36,A1,304.36,credit_card,INDIVIDUAL,Fully Paid
1069453,11000,36,A2,337.75,debt_consolidation,INDIVIDUAL,Fully Paid
1069248,15000,36,B1,483.38,debt_consolidation,INDIVIDUAL,Charged Off
1068120,25600,36,B1,824.96,credit_card,INDIVIDUAL,Fully Paid
1069244,7000,36,B2,228.02,debt_consolidation,INDIVIDUAL,Fully Paid
1069243,12000,36,C5,421.65,car,INDIVIDUAL,Charged Off
1069238,12000,36,B1,386.7,credit_card,INDIVIDUAL,Fully Paid
1069410,21000,60,E4,555.33,debt_consolidation,INDIVIDUAL,Charged Off
1068409,16000,60,E4,423.11,credit_card,INDIVIDUAL,Fully Paid
1068487,10000,36,B4,334.16,debt_consolidation,INDIVIDUAL,Fully Paid
1043961,10000,36,B2,325.74,credit_card,INDIVIDUAL,Fully Paid
1068945,7100,36,D2,252.33,debt_consolidation,INDIVIDUAL,Fully Paid
1069142,13000,60,B5,293.74,debt_consolidation,INDIVIDUAL,Fully Paid
1068934,17500,60,D3,223.74,small_business,INDIVIDUAL,Fully Paid
1069136,17675,60,C3,417.25,debt_consolidation,INDIVIDUAL,Fully Paid
1068923,8000,36,D2,284.31,debt_consolidation,INDIVIDUAL,Fully Paid
1069126,10000,60,B2,215.69,debt_consolidation,INDIVIDUAL,Charged Off
1069102,3500,36,B2,114.01,debt_consolidation,INDIVIDUAL,Fully Paid
1069093,12500,60,D3,223.11,debt_consolidation,INDIVIDUAL,Charged Off
1069030,16425,36,C2,563.53,debt_consolidation,INDIVIDUAL,Fully Paid
1068906,8200,60,F2,223.14,small_business,INDIVIDUAL,Charged Off
1069073,15000,36,C3,517.42,credit_card,INDIVIDUAL,Fully Paid
1069043,20975,60,D4,341.63,credit_card,INDIVIDUAL,Fully Paid
1060981,6400,36,D2,227.45,debt_consolidation,INDIVIDUAL,Charged Off
1069071,3000,36,C1,101.8,debt_consolidation,INDIVIDUAL,Fully Paid
1069070,12000,36,D2,426.47,credit_card,INDIVIDUAL,Fully Paid
1068893,14400,36,A5,457.25,debt_consolidation,INDIVIDUAL,Fully Paid
1068882,12000,36,C3,413.94,debt_consolidation,INDIVIDUAL,Fully Paid
1069039,11000,36,C1,373.24,debt_consolidation,INDIVIDUAL,Fully Paid
1068416,7250,60,F3,197.51,debt_consolidation,INDIVIDUAL,Fully Paid
1068997,15000,36,A4,469.36,small_business,INDIVIDUAL,Fully Paid
1048390,18000,60,E4,475.99,debt_consolidation,INDIVIDUAL,Fully Paid
1068994,35000,60,D3,551.84,home_improvement,INDIVIDUAL,Fully Paid
1068475,10000,36,C2,343.09,credit_card,INDIVIDUAL,Fully Paid
1068989,11800,36,B5,395.83,credit_card,INDIVIDUAL,Fully Paid
1068967,4500,36,A1,136.96,major_purchase,INDIVIDUAL,Fully Paid
1068744,7000,36,B5,234.82,credit_card,INDIVIDUAL,Fully Paid
1045509,9200,36,B4,307.43,debt_consolidation,INDIVIDUAL,Fully Paid
1063958,14000,60,D3,349.98,other,INDIVIDUAL,Current
1041756,4500,60,B2,97.06,car,INDIVIDUAL,Fully Paid
1068694,12000,36,D1,423.61,debt_consolidation,INDIVIDUAL,Fully Paid
1068792,12000,36,C1,407.17,debt_consolidation,INDIVIDUAL,Fully Paid
1068558,12000,36,B2,390.88,credit_card,INDIVIDUAL,Fully Paid
1068322,7000,36,B2,228.02,credit_card,INDIVIDUAL,Fully Paid
1065674,8200,60,E3,214.62,debt_consolidation,INDIVIDUAL,Fully Paid
1068547,10500,36,B5,352.23,medical,INDIVIDUAL,Fully Paid
1068545,7000,36,B3,231.54,debt_consolidation,INDIVIDUAL,Fully Paid
1068575,15300,60,F4,423.1,credit_card,INDIVIDUAL,Current
1049528,20000,60,B3,282.86,debt_consolidation,INDIVIDUAL,Fully Paid
1068542,17500,60,D3,437.47,credit_card,INDIVIDUAL,Charged Off
1068350,3500,36,A1,106.53,car,INDIVIDUAL,Fully Paid
1067874,6000,60,B5,135.57,major_purchase,INDIVIDUAL,Current
1068509,6200,36,B1,199.8,debt_consolidation,INDIVIDUAL,Charged Off
1034693,16000,60,D4,402.65,debt_consolidation,INDIVIDUAL,Current
1068508,6000,36,A5,190.52,debt_consolidation,INDIVIDUAL,Fully Paid
1066641,7200,36,B1,232.02,credit_card,INDIVIDUAL,Fully Paid
1068315,9500,36,A5,301.66,credit_card,INDIVIDUAL,Fully Paid
1068309,18825,60,D2,465.53,debt_consolidation,INDIVIDUAL,Charged Off
1068326,24000,36,B2,781.76,debt_consolidation,INDIVIDUAL,Fully Paid
1066767,6000,36,C1,203.59,debt_consolidation,INDIVIDUAL,Fully Paid
1068484,6000,36,C1,203.59,debt_consolidation,INDIVIDUAL,Fully Paid
1068292,2100,36,B4,70.18,vacation,INDIVIDUAL,Fully Paid
1068273,5500,36,A2,168.88,small_business,INDIVIDUAL,Fully Paid
1068274,11000,36,A2,337.75,debt_consolidation,INDIVIDUAL,Fully Paid
1068440,26800,60,F1,723.38,debt_consolidation,INDIVIDUAL,Fully Paid
1046456,8000,36,B5,268.36,debt_consolidation,INDIVIDUAL,Fully Paid
1068012,10000,36,D5,362.78,credit_card,INDIVIDUAL,Charged Off
1055725,8000,36,B3,264.61,credit_card,INDIVIDUAL,Fully Paid
1061814,10000,36,A5,317.54,debt_consolidation,INDIVIDUAL,Fully Paid
1068232,12000,36,B3,396.92,debt_consolidation,INDIVIDUAL,Fully Paid
1068405,10000,36,A4,312.91,debt_consolidation,INDIVIDUAL,Fully Paid
1068395,12000,36,B1,386.7,debt_consolidation,INDIVIDUAL,Fully Paid
1068202,25000,60,C1,575.12,credit_card,INDIVIDUAL,Charged Off
1068006,19750,36,B2,643.33,debt_consolidation,INDIVIDUAL,Charged Off
1068075,10000,36,B1,322.25,debt_consolidation,INDIVIDUAL,Fully Paid
1065642,13650,36,B4,456.12,debt_consolidation,INDIVIDUAL,Fully Paid
1068179,28000,60,E4,312.04,debt_consolidation,INDIVIDUAL,Charged Off
1068158,18000,36,A4,563.23,debt_consolidation,INDIVIDUAL,Fully Paid
1068180,2500,36,C2,85.78,debt_consolidation,INDIVIDUAL,Fully Paid
1065673,21000,60,E5,559.89,credit_card,INDIVIDUAL,Fully Paid
1068159,35000,36,A5,1111.37,debt_consolidation,INDIVIDUAL,Fully Paid
1068165,10000,36,A3,311.11,credit_card,INDIVIDUAL,Fully Paid
1059689,7000,36,B5,234.82,credit_card,INDIVIDUAL,Fully Paid
1066215,24000,36,C5,843.3,home_improvement,INDIVIDUAL,Charged Off
1063270,10625,36,A3,330.56,medical,INDIVIDUAL,Fully Paid
1067931,5000,36,C3,172.48,debt_consolidation,INDIVIDUAL,Fully Paid
1067922,8850,36,A2,271.73,credit_card,INDIVIDUAL,Fully Paid
1067919,6375,36,A3,198.34,debt_consolidation,INDIVIDUAL,Fully Paid
1068106,6000,36,B3,198.46,credit_card,INDIVIDUAL,Fully Paid
1068111,11100,36,A2,340.82,credit_card,INDIVIDUAL,Charged Off
1067655,10000,60,B5,225.95,debt_consolidation,INDIVIDUAL,Fully Paid
1060662,6200,36,A1,188.71,small_business,INDIVIDUAL,Fully Paid
1061304,15000,36,E1,547.12,debt_consolidation,INDIVIDUAL,Fully Paid
1068095,4200,36,B3,138.92,other,INDIVIDUAL,Fully Paid
1067182,14000,36,C2,480.33,debt_consolidation,INDIVIDUAL,Fully Paid
822464,8875,36,A3,276.11,debt_consolidation,INDIVIDUAL,Fully Paid
1063526,13500,36,B1,435.04,debt_consolidation,INDIVIDUAL,Fully Paid
1068091,12000,36,B1,386.7,debt_consolidation,INDIVIDUAL,Charged Off
1068090,16000,60,E4,423.11,debt_consolidation,INDIVIDUAL,Fully Paid
1068082,21600,60,E3,565.32,debt_consolidation,INDIVIDUAL,Fully Paid
1068078,6000,36,B2,195.44,home_improvement,INDIVIDUAL,Fully Paid
1057633,8450,60,D2,208.97,debt_consolidation,INDIVIDUAL,Fully Paid
1046204,20000,60,C1,460.1,credit_card,INDIVIDUAL,Fully Paid
1067794,10000,36,B3,330.76,debt_consolidation,INDIVIDUAL,Charged Off
1067816,12000,36,D1,423.61,credit_card,INDIVIDUAL,Fully Paid
1068018,13475,60,C1,309.99,credit_card,INDIVIDUAL,Charged Off
1052996,7200,36,B4,240.59,major_purchase,INDIVIDUAL,Fully Paid
1067818,5600,36,C3,193.17,debt_consolidation,INDIVIDUAL,Charged Off
1064842,12000,36,C2,411.71,debt_consolidation,INDIVIDUAL,Fully Paid
1067109,8500,36,A1,258.71,credit_card,INDIVIDUAL,Fully Paid
1067971,8000,36,B1,257.8,credit_card,INDIVIDUAL,Fully Paid
1057518,8000,36,B4,267.33,credit_card,INDIVIDUAL,Fully Paid
1067473,16000,60,C4,382.92,debt_consolidation,INDIVIDUAL,Fully Paid
1062177,15000,36,D3,536.81,house,INDIVIDUAL,Fully Paid
1067447,10000,36,B1,322.25,debt_consolidation,INDIVIDUAL,Fully Paid
1059412,10000,36,A2,307.04,credit_card,INDIVIDUAL,Fully Paid
1062608,8000,36,C3,275.96,car,INDIVIDUAL,Fully Paid
1067664,22000,36,B1,708.95,debt_consolidation,INDIVIDUAL,Fully Paid
1067441,6000,36,C2,205.86,car,INDIVIDUAL,Fully Paid
1067654,16000,60,B1,339.25,debt_consolidation,INDIVIDUAL,Fully Paid
1067644,2500,36,A3,77.78,debt_consolidation,INDIVIDUAL,Charged Off
1062288,13500,36,B1,435.04,credit_card,INDIVIDUAL,Fully Paid
1067434,25000,36,B4,835.39,debt_consolidation,INDIVIDUAL,Fully Paid
1067419,10000,36,C1,339.31,small_business,INDIVIDUAL,Fully Paid
1067601,2500,36,C1,84.83,debt_consolidation,INDIVIDUAL,Fully Paid
1067579,7325,36,B5,245.72,debt_consolidation,INDIVIDUAL,Fully Paid
1067563,4000,36,B4,133.67,credit_card,INDIVIDUAL,Fully Paid
1067364,10000,36,C1,339.31,small_business,INDIVIDUAL,Charged Off
1067152,7750,36,D3,277.36,debt_consolidation,INDIVIDUAL,Charged Off
1062471,20000,60,F1,539.84,debt_consolidation,INDIVIDUAL,Charged Off
1066842,9600,36,B4,320.79,debt_consolidation,INDIVIDUAL,Fully Paid
1067126,21000,60,B3,464.07,debt_consolidation,INDIVIDUAL,Charged Off
1067326,14000,36,B2,456.03,credit_card,INDIVIDUAL,Fully Paid
1066789,13350,36,B4,446.1,debt_consolidation,INDIVIDUAL,Fully Paid
1067324,15000,36,D2,533.08,debt_consolidation,INDIVIDUAL,Charged Off
1067102,15000,36,D3,536.81,debt_consolidation,INDIVIDUAL,Charged Off
1046969,11000,60,C1,253.06,debt_consolidation,INDIVIDUAL,Current
1067084,35000,36,B2,1140.07,debt_consolidation,INDIVIDUAL,Fully Paid
1067090,9000,36,B2,293.16,credit_card,INDIVIDUAL,Fully Paid
1060875,22475,60,C4,537.87,debt_consolidation,INDIVIDUAL,Fully Paid
1067265,16000,36,B5,536.72,debt_consolidation,INDIVIDUAL,Charged Off
1067287,13500,36,B5,452.86,debt_consolidation,INDIVIDUAL,Fully Paid
1067066,24000,36,B5,805.08,debt_consolidation,INDIVIDUAL,Fully Paid
1067283,12000,36,B2,390.88,credit_card,INDIVIDUAL,Fully Paid
1067266,8400,60,D2,207.73,major_purchase,INDIVIDUAL,Fully Paid
1066635,28000,60,D4,704.64,home_improvement,INDIVIDUAL,Fully Paid
1067026,14000,36,A2,429.86,debt_consolidation,INDIVIDUAL,Fully Paid
1067038,12000,36,C2,411.71,other,INDIVIDUAL,Charged Off
1067030,25000,36,B3,826.9,debt_consolidation,INDIVIDUAL,Fully Paid
1065350,9000,36,B5,301.91,debt_consolidation,INDIVIDUAL,Fully Paid
1067028,13250,36,B2,431.6,debt_consolidation,INDIVIDUAL,Fully Paid
1061877,20000,36,C1,678.61,debt_consolidation,INDIVIDUAL,Fully Paid
1067018,3000,36,C3,103.49,medical,INDIVIDUAL,Fully Paid
1067223,7350,36,B2,239.42,debt_consolidation,INDIVIDUAL,Fully Paid
1067004,11500,36,C4,400.18,debt_consolidation,INDIVIDUAL,Fully Paid
1031265,13650,36,B4,456.12,debt_consolidation,INDIVIDUAL,Charged Off
1066835,10500,36,D1,370.66,debt_consolidation,INDIVIDUAL,Charged Off
1067181,12000,36,B1,386.7,debt_consolidation,INDIVIDUAL,Fully Paid
1067179,6000,36,A5,190.52,credit_card,INDIVIDUAL,Fully Paid
1067172,11500,36,C4,400.18,credit_card,INDIVIDUAL,Fully Paid
1066712,7000,36,B4,233.91,debt_consolidation,INDIVIDUAL,Fully Paid
1066706,29500,60,E5,786.51,debt_consolidation,INDIVIDUAL,Fully Paid
1066836,2000,36,C4,69.6,moving,INDIVIDUAL,Fully Paid
1066826,11625,36,C1,394.45,credit_card,INDIVIDUAL,Fully Paid
1063280,15075,36,C2,517.21,debt_consolidation,INDIVIDUAL,Charged Off
1057447,5300,36,C4,184.43,credit_card,INDIVIDUAL,Fully Paid
1040867,8200,36,A2,251.77,home_improvement,INDIVIDUAL,Fully Paid
1065232,12000,36,B4,400.99,credit_card,INDIVIDUAL,Fully Paid
1052492,8650,36,C2,296.78,credit_card,INDIVIDUAL,Fully Paid
1066664,21000,60,D3,294.98,debt_consolidation,INDIVIDUAL,Current
1066659,16000,60,D3,399.97,debt_consolidation,INDIVIDUAL,Current
1066763,12000,36,B4,400.99,debt_consolidation,INDIVIDUAL,Fully Paid
1066798,9500,36,B5,318.68,moving,INDIVIDUAL,Charged Off
1066639,7400,36,C1,251.09,debt_consolidation,INDIVIDUAL,Fully Paid
1066633,14400,36,C1,488.6,debt_consolidation,INDIVIDUAL,Fully Paid
